ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
708570,Photo,Eurasian Blue Tit,Cyanistes caeruleus,,Ciro De Simone,,,,,,Italy,IT-34,Veneto,,Veneto,45.6585671,11.8443761,"","",Unspecified,"","",,IBC1103749,,,,,,"",,,"Cinciarella. Original IBC location name and coordinates: Veneto Region (45.7599,11.7004). Elevation: 109 m. Date added to IBC: June 22, 2016.",,Cyanistes caeruleus,blutit,Species,,,4.43,7,"",800,1200
708571,Photo,European Bee-eater,Merops apiaster,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103750,,,,,,"",,,"Gruccione. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Merops apiaster,eubeat1,Species,,,4.00,4,"",799,1200
708572,Photo,Squacco Heron,Ardeola ralloides,,Ciro De Simone,,,,,,Italy,IT-62,Lazio,,Lazio,41.9778643,12.7697583,"","",Unspecified,"","",,IBC1103790,,,,,,"",,,"Sgarza ciuffetto . Original IBC location name and coordinates: Lazio Region (41.6893,12.9584). Elevation: 661 m. Date added to IBC: June 22, 2016.",,Ardeola ralloides,squher1,Species,,,4.00,4,"",1200,800
708573,Photo,Lesser Kestrel,Falco naumanni,,Ciro De Simone,,,,,,Italy,IT-77,Basilicata,,"Matera (40.6671, 16.6045)",40.6671000,16.6045000,"","",Unspecified,"","",,IBC1103791,,,,,,"",,,"Grillaio. Elevation: 398 m. Date added to IBC: June 22, 2016.",,Falco naumanni,leskes1,Species,,,4.00,4,"",800,1200
708574,Photo,Ring-necked Pheasant,Phasianus colchicus,,Ciro De Simone,,,,,,Italy,IT-45,Emilia-Romagna,,Emilia-Romagna,44.5350377,11.0222558,"","",Unspecified,"","",,IBC1103792,,,,,,"",,,"Fagiano. IBC scientific name: Phasianus colchicus. Original IBC location name and coordinates: Emilia-Romagna Region (44.6257,11.217). Elevation: 21 m. Date added to IBC: June 22, 2016.",,Phasianus colchicus,rinphe1,Group,,,4.00,4,"",800,1200
708575,Photo,Eurasian Jay,Garrulus glandarius,,Ciro De Simone,,,,,,Italy,IT-34,Veneto,,Veneto,45.6585671,11.8443761,"","",Unspecified,"","",,IBC1103793,,,,,,"",,,"Ghiandaia . Original IBC location name and coordinates: Veneto Region (45.7599,11.7004). Elevation: 109 m. Date added to IBC: June 22, 2016.",,Garrulus glandarius,eurjay1,Species,,,4.33,6,"",800,1200
708576,Photo,Mute Swan,Cygnus olor,,Ciro De Simone,,,,,,Italy,IT-62,Lazio,,Lazio,41.9778643,12.7697583,"","",Unspecified,"","",,IBC1103794,,,,,,"",,,"Cihno. Original IBC location name and coordinates: Lazio Region (41.6893,12.9584). Elevation: 661 m. Date added to IBC: June 22, 2016.",,Cygnus olor,mutswa,Species,,,4.20,5,"",800,1200
708577,Photo,European Roller,Coracias garrulus,,Ciro De Simone,,,,,,Italy,IT-62,Lazio,,Lazio,41.9778643,12.7697583,"","",Unspecified,"","",,IBC1103795,,,,,,"",,,"Ghiandaia Marina . Original IBC location name and coordinates: Lazio Region (41.6893,12.9584). Elevation: 661 m. Date added to IBC: June 22, 2016.",,Coracias garrulus,eurrol1,Species,,,4.00,4,"",800,1200
708578,Photo,Pied Avocet,Recurvirostra avosetta,,Ciro De Simone,,,,,,Italy,IT-75,Puglia,,Puglia,40.9806834,16.6274043,"","",Unspecified,"","",,IBC1103796,,,,,,"",,,"Avocetta. Original IBC location name and coordinates: Puglia (Apulia) Region (40.9757,16.9409). Elevation: 198 m. Date added to IBC: June 22, 2016.",,Recurvirostra avosetta,pieavo1,Species,,,4.00,4,"",800,1200
708579,Photo,Common Shelduck,Tadorna tadorna,,Ciro De Simone,,,,,,Italy,IT-75,Puglia,,Puglia,40.9806834,16.6274043,"","",Unspecified,"","",,IBC1103797,,,,,,"",,,"Volpoca. Original IBC location name and coordinates: Puglia (Apulia) Region (40.9757,16.9409). Elevation: 198 m. Date added to IBC: June 22, 2016.",,Tadorna tadorna,comshe,Species,,,4.00,4,"",800,1200
708580,Photo,Common Pochard,Aythya ferina,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103798,,,,,,"",,,"Moriglione. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Aythya ferina,compoc,Species,,,4.00,4,"",822,1200
708581,Photo,Northern Shoveler,Spatula clypeata,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103799,,,,,,"",,,"Mestolone female. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Spatula clypeata,norsho,Species,,,4.00,4,"",801,1200
708582,Photo,Ferruginous Duck,Aythya nyroca,,Ciro De Simone,,,,,,Italy,IT-62,Lazio,,Lazio,41.9778643,12.7697583,"","",Unspecified,"","",,IBC1103800,,,,,,"",,,"Moretta tabaccata. Original IBC location name and coordinates: Lazio Region (41.6893,12.9584). Elevation: 661 m. Date added to IBC: June 22, 2016.",,Aythya nyroca,ferduc,Species,,,3.40,5,"",800,1200
708583,Photo,Glossy Ibis,Plegadis falcinellus,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103801,,,,,,"",,,"Mignattaio. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Plegadis falcinellus,gloibi,Species,,,4.00,5,"",865,1200
708584,Photo,White Stork,Ciconia ciconia,,Ciro De Simone,,,,,,Italy,IT-75,Puglia,,Puglia,40.9806834,16.6274043,"","",Unspecified,"","",,IBC1103802,,,,,,"",,,"Cicogna bianca. Original IBC location name and coordinates: Puglia (Apulia) Region (40.9757,16.9409). Elevation: 198 m. Date added to IBC: June 22, 2016.",,Ciconia ciconia,whisto1,Species,,,4.00,4,"",800,1200
708585,Photo,Black Stork,Ciconia nigra,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103803,,,,,,"",,,"Cicogna nera. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Ciconia nigra,blasto1,Species,,,4.00,4,"",800,1200
708586,Photo,Little Crake,Zapornia parva,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103804,,,,,,"",,,"Schiribilla. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Zapornia parva,litcra1,Species,,,4.20,5,"",800,1200
708587,Photo,Eurasian Coot,Fulica atra,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103805,,,,,,"",,,"Fologa. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Fulica atra,eurcoo,Species,,,4.00,4,"",800,1200
708588,Photo,Pygmy Cormorant,Microcarbo pygmaeus,,Ciro De Simone,,,,,,Italy,IT-34,Veneto,,Veneto,45.6585671,11.8443761,"","",Unspecified,"","",,IBC1103806,,,,,,"",,,"Marangone minore. Original IBC location name and coordinates: Veneto Region (45.7599,11.7004). Elevation: 109 m. Date added to IBC: June 22, 2016.",,Microcarbo pygmaeus,pygcor2,Species,,,4.00,5,"",761,1142
708589,Photo,Black Kite,Milvus migrans,,Ciro De Simone,,,,,,Italy,IT-77,Basilicata,,Basilicata,40.4994400,16.0827705,"","",Unspecified,"","",,IBC1103807,,,,,,"",,,"Nibbio Bruno . Original IBC location name and coordinates: Basilicata Region (40.4469,16.1334). Elevation: 1013 m. Date added to IBC: June 22, 2016.",,Milvus migrans,blakit1,Species,,,4.00,5,"",799,1200
708590,Photo,Eurasian Kestrel,Falco tinnunculus,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103808,,,,,,"",,,"Gheppio. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Falco tinnunculus,eurkes,Species,,,4.00,4,"",800,1200
708591,Photo,Eurasian Hobby,Falco subbuteo,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103809,,,,,,"",,,"Lodolaio. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Falco subbuteo,eurhob,Species,,,4.00,4,"",800,1200
708592,Photo,European Honey-buzzard,Pernis apivorus,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103810,,,,,,"",,,"Falco pecchiaiolo. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Pernis apivorus,euhbuz1,Species,,,3.00,4,"",800,1200
708593,Photo,White Wagtail,Motacilla alba,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103811,,,,,,"",,,"Ballerina bianca. Original IBC location name and coordinates: Campania Region (41.3562,15.1007). Elevation: 772 m. Date added to IBC: June 22, 2016.",,Motacilla alba,whiwag,Species,,,4.00,4,"",800,1200
