ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
713001,Photo,Black-winged Stilt,Himantopus himantopus,,Rajubhai Patel,2017-03-19,2017,3,19,,,,,,,,,"",Foraging or Eating,Unspecified,"","",,IBC1514672,,,,,,"",,,"feeding. Date added to IBC: August 24, 2018.",,Himantopus himantopus,bkwsti,Species,,,3.00,4,"",3456,5184
713002,Photo,Black-winged Stilt,Himantopus himantopus,,Rajubhai Patel,2017-03-19,2017,3,19,,,,,,,,,"",Foraging or Eating,Unspecified,"","",,IBC1514673,,,,,,"",,,"feeding. Date added to IBC: August 24, 2018.",,Himantopus himantopus,bkwsti,Species,,,3.00,4,"",3456,5184
713003,Photo,Black Kite (Yellow-billed),Milvus migrans aegyptius/parasitus,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4435, 46.6896)",-15.4435000,46.6896000,"","",Unspecified,"","",,IBC1514815,,,,,,"",,,"Black Kite by Jade Forham. A Black Kite photographed flying over the Ankobohobo wetlands by Jade Forham. IBC scientific name: Milvus migrans parasitus. Elevation: 15 m. Date added to IBC: August 24, 2018.",,Milvus migrans,blkkit3,Group,,,3.00,4,"",936,1061
713004,Photo,Madagascar Buzzard,Buteo brachypterus,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4432, 46.6765)",-15.4432000,46.6765000,"","",Unspecified,"","",,IBC1514818,,,,,,"",,,"Madagascar Buzzard by Fionn Ó Marcaigh. A Madagascar Buzzard seen in the Ankobohobo wetlands by Fionn Ó Marcaigh. Elevation: 12 m. Date added to IBC: August 24, 2018.",,Buteo brachypterus,madbuz1,Species,,,3.00,4,"",999,1149
713005,Photo,Barn Swallow (White-bellied),Hirundo rustica rustica,,Nicholas Talbot,2018-08-12,2018,8,12,,,,,,,,,"","",Unspecified,"","",,IBC1515081,,,,,,"",,,"An immature bird perching on a reed. Date added to IBC: August 26, 2018.",,Hirundo rustica,barswa2,Group,,,3.00,4,"",1691,2735
713006,Photo,Spotless Starling,Sturnus unicolor,,Nicholas Talbot,,,,,,Spain,ES-MD,"Madrid, Comunidad de",,"Casa de Campo Park (40.4245, -3.7541)",40.4245000,-3.7541000,"","",Unspecified,"","",,IBC1515232,,,,,,"",,,"An immature bird perching in a tree. Elevation: 654 m. Date added to IBC: August 27, 2018.",,Sturnus unicolor,sposta1,Species,,,3.00,4,"",1363,1362
713007,Photo,Pied Crow,Corvus albus,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4384, 46.6849)",-15.4384000,46.6849000,"","",Unspecified,"","",,IBC1515335,,,,,,"",,,"Pied Crows by Fionn Ó Marcaigh. A pair of Pied Crows seen in the Ankobohobo wetlands by Fionn Ó Marcaigh. Elevation: 9 m. Date added to IBC: August 28, 2018.",,Corvus albus,piecro1,Species,,,2.00,4,"",1060,1173
713008,Photo,Malagasy Kestrel,Falco newtoni,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4351, 46.6822)",-15.4351000,46.6822000,"","",Unspecified,"","",,IBC1515337,,,,,,"",,,"Madagascar Kestrel by Fionn Ó Marcaigh. A Madagascar Kestrel seen in the Ankobohobo Wetlands by Fionn Ó Marcaigh. IBC scientific name: Falco newtoni newtoni. Elevation: 8 m. Date added to IBC: August 28, 2018.",,Falco newtoni,madkes1,Species,,,3.00,4,"",1032,1171
713009,Photo,Eurasian Moorhen,Gallinula chloropus,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4331, 46.6829)",-15.4331000,46.6829000,"","",Unspecified,"","",,IBC1515340,,,,,,"",,,"Common Moorhen by Fionn Ó Marcaigh. A Common Moorhen photographed in the Ankobohobo Wetlands by Fionn Ó Marcaigh. IBC scientific name: Gallinula chloropus chloropus. Elevation: 8 m. Date added to IBC: August 28, 2018.",,Gallinula chloropus,commoo3,Species,,,3.00,4,"",1040,1229
713010,Photo,Malagasy Kingfisher,Corythornis vintsioides,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4293, 46.6808)",-15.4293000,46.6808000,"","",Unspecified,"","",,IBC1515345,,,,,,"",,,"Madagascar Kingfisher by Fionn Ó Marcaigh. A Madagascar Kingfisher photographed in the Ankobohobo Wetlands by Fionn Ó Marcaigh. IBC scientific name: Corythornis vintsioides vintsioides. Elevation: 9 m. Date added to IBC: August 28, 2018.",,Corythornis vintsioides,malkin2,Species,,,2.80,5,"",1057,1261
713011,Photo,Crested Drongo (Madagascar),Dicrurus forficatus forficatus,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4336, 46.6804)",-15.4336000,46.6804000,"","",Unspecified,"","",,IBC1515346,,,,,,"",,,"Crested Drongo by Fionn Ó Marcaigh. A Crested Drongo photographed in the Ankobohobo Wetlands by Fionn Ó Marcaigh. Elevation: 8 m. Date added to IBC: August 28, 2018.",,Dicrurus forficatus,credro2,Group,,,2.00,4,"",829,923
713012,Photo,Madagascar Bee-eater,Merops superciliosus,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4325, 46.682)",-15.4325000,46.6820000,"","",Unspecified,"","",,IBC1515348,,,,,,"",,,"Olive Bee-eater by Fionn Ó Marcaigh. An Olive Bee-eater photographed in the Ankobohobo wetlands by Fionn Ó Marcaigh. IBC scientific name: Merops superciliosus superciliosus. Elevation: 9 m. Date added to IBC: August 28, 2018.",,Merops superciliosus,mabeat1,Species,,,3.00,4,"",912,1081
713013,Photo,Lesser Vasa Parrot (Black),Coracopsis nigra nigra/libs,,Tom Martin,,,,,,,,,,,,,"","",Unspecified,"","",,IBC1515349,,,,,,"",,,"Black (Lesser Vasa) Parrot by Fionn Ó Marcaigh. A Black (Lesser Vasa) Parrot photographed in the Ankobohobo wetlands by Fionn Ó Marcaigh. IBC scientific name: Coracopsis nigra libs. Date added to IBC: August 28, 2018.",,Coracopsis nigra,levpar2,Group,,,2.00,4,"",991,1053
713014,Photo,Great Egret (Eurasian),Ardea alba alba,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4273, 46.6806)",-15.4273000,46.6806000,"","",Unspecified,"","",,IBC1515351,,,,,,"",,,"Great White Egret by Fionn Ó Marcaigh. A Great White Egret photographed in Ankobohobo wetlands by Fionn Ó Marcaigh. Elevation: 8 m. Date added to IBC: August 28, 2018.",,Ardea alba,greegr1,Group,,,3.00,4,"",992,1163
713015,Photo,Namaqua Dove,Oena capensis,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Route C - Antafiameva (-15.4347, 46.6813)",-15.4347000,46.6813000,"","",Unspecified,"","",,IBC1515372,,,,,,"",,,"Namaqua Dove by Fionn Ó Marcaigh. A Namaqua Dove photographed in Ankobohobo wetlands by Fionn Ó Marcaigh. IBC scientific name: Oena capensis aliena. Elevation: 8 m. Date added to IBC: August 28, 2018.",,Oena capensis,namdov1,Species,,,3.00,4,"",1049,1190
713016,Photo,Greater Vasa Parrot,Coracopsis vasa,,Tom Martin,,,,,,Madagascar,MG-M,Mahajanga,,"Mahamavo Forest (-15.4913, 46.7146)",-15.4913000,46.7146000,"","",Unspecified,"","",,IBC1515645,,,,,,"",,,"Greater Vasa Parrot by Lauren Moore. A Greater Vasa Parrot photographed by Lauren Moore in Mariarano Forest. IBC scientific name: Coracopsis vasa drouhardi. Elevation: 48 m. Date added to IBC: August 30, 2018.",,Coracopsis vasa,vaspar1,Species,,,3.50,6,"",1938,1668
713017,Photo,Red-tailed Shrike,Lanius phoenicuroides,,jaysukh parekh Suman,2018-08-23,2018,8,23,,,,,,,,,"","",Unspecified,"","",,IBC1515814,,,,,,"",,,"Red-tailed Shrike. passege migrant for kutch india. Date added to IBC: August 31, 2018.",,Lanius phoenicuroides,rutshr2,Species,,,4.00,4,"",850,671
713018,Photo,Budgerigar,Melopsittacus undulatus,,Leslie George,,,,,,Australia,AU-WA-CAR,Western Australia,Carnarvon,"Carnarvon (-24.8319, 113.8835)",-24.8319000,113.8835000,"","",Unspecified,"","",,IBC1515883,,,,,,"",,,"Female inspecting nest hollow. Elevation: 24 m. Date added to IBC: September 1, 2018.",,Melopsittacus undulatus,budger,Species,,,4.00,5,Nest,3648,5472
713019,Photo,Budgerigar,Melopsittacus undulatus,,Leslie George,,,,,,Australia,AU-WA-CAR,Western Australia,Carnarvon,"Carnarvon (-24.8318, 113.8834)",-24.8318000,113.8834000,"","Courtship, Display, or Copulation",Unspecified,"","",,IBC1515890,,,,,,"",,,"Pair copulating. Copulation seen to occur six times in eleven minutes. Elevation: 24 m. Date added to IBC: September 1, 2018.",,Melopsittacus undulatus,budger,Species,,,5.00,6,"",3221,4295
713020,Photo,Eastern Crowned Warbler,Phylloscopus coronatus,,Lukasz Pulawski,2016-01-12,2016,1,12,,,,,,,,,"","",Unspecified,"","",,IBC1516741,,,,,,"",,,"Ventral view. Date added to IBC: September 7, 2018.",,Phylloscopus coronatus,eacwar1,Species,,,3.00,4,"",2672,3384
713021,Photo,House Sparrow,Passer domesticus,,jaysukh parekh Suman,,,,,,India,IN-GJ-KA,Gujarat,Kachchh,Kachchh,23.6293788,69.9592245,"","",Unspecified,"","",,IBC1516950,,,,,,"",,,"house sparrow. ad.feeding to young. Original IBC location name and coordinates: Kutch District (23.3069,69.6561). Elevation: 79 m. Date added to IBC: September 9, 2018.",,Passer domesticus,houspa,Species,,,3.40,5,"",2865,3276
713022,Photo,Lesser Flamingo,Phoeniconaias minor,,jaysukh parekh Suman,,,,,,India,IN-GJ-KA,Gujarat,Kachchh,Kachchh,23.6293788,69.9592245,"","",Unspecified,"","",,IBC1517252,,,,,,"",,,"lesser flamingo. Original IBC location name and coordinates: Kutch District (23.3069,69.6561). Elevation: 79 m. Date added to IBC: September 11, 2018.",,Phoeniconaias minor,lesfla1,Species,,,3.40,5,"",3126,7058
713023,Photo,Eurasian Griffon,Gyps fulvus,,jaysukh parekh Suman,,,,,,India,IN-GJ-KA,Gujarat,Kachchh,"Little Rann of Kutch (23.1896, 70.7327)",23.1896000,70.7327000,"","",Unspecified,"","",,IBC1517255,,,,,,"",,,"griffon vulture. Elevation: 1 m. Date added to IBC: September 11, 2018.",,Gyps fulvus,eurgri1,Species,,,4.00,4,"",1840,2656
713024,Photo,Pallid Harrier,Circus macrourus,,jaysukh parekh Suman,,,,,,India,IN-GJ-KA,Gujarat,Kachchh,Kachchh,23.6293788,69.9592245,"","",Unspecified,"","",,IBC1517373,,,,,,"",,,"pallid harrier. Original IBC location name and coordinates: Kutch District (23.3069,69.6561). Elevation: 79 m. Date added to IBC: September 12, 2018.",,Circus macrourus,palhar1,Species,,,4.00,4,"",3613,4439
713025,Photo,Small Minivet,Pericrocotus cinnamomeus,,jaysukh parekh Suman,,,,,,India,IN-GJ-KA,Gujarat,Kachchh,Kachchh,23.6293788,69.9592245,"","",Unspecified,"","",,IBC1517374,,,,,,"",,,"small minivet. Original IBC location name and coordinates: Kutch District (23.3069,69.6561). Elevation: 79 m. Date added to IBC: September 12, 2018.",,Pericrocotus cinnamomeus,smamin1,Species,,,4.00,4,"",878,840
713026,Photo,Cobalt-rumped Parrotlet,Forpus xanthopterygius,,Anonymous,,,,,,Brazil,BR-SC,Santa Catarina,,"Blumenau (-26.9222, -49.0591)",-26.9222000,-49.0591000,"","",Unspecified,"","",,IBC1517434,,,,,,"",,,"Female Blue-winged Parrotlet. Elevation: 16 m. Date added to IBC: September 12, 2018.",,Forpus xanthopterygius,buwpar3,Species,,,4.00,4,"",1200,1800
713027,Photo,Thick-billed Murre,Uria lomvia,,Rémi Bigonneau,2018-07-12,2018,7,12,,,,,,,,,"","",Unspecified,"","",,IBC1517481,,,,,,"",,,"Six birds on the water. Elevation: 0 m. Date added to IBC: September 12, 2018.",,Uria lomvia,thbmur,Species,,,4.00,4,"",600,900
713028,Photo,Shikra (African),Accipiter badius sphenurus/polyzonoides,,Pablo Pascual,,,,,,Guinea,GN-C,Conakry,,Conakry Region,9.6441000,-13.5764000,"","",Unspecified,"","",,IBC1517662,,,,,,"",,,"Shikra. IBC scientific name: Accipiter badius sphenurus. Elevation: 73 m. Date added to IBC: September 14, 2018.",,Accipiter badius,shikra2,Group,,,3.67,6,"",2747,2268
713029,Photo,Pink-backed Pelican,Pelecanus rufescens,,Pablo Pascual,,,,,,Guinea,GN-C,Conakry,,Conakry Region,9.6441000,-13.5764000,"","",Unspecified,"","",,IBC1517663,,,,,,"",,,"Pink-backed Pelican. Elevation: 73 m. Date added to IBC: September 14, 2018.",,Pelecanus rufescens,pibpel1,Species,,,3.00,6,"",3456,5184
713030,Photo,Papuan Hanging-Parrot,Loriculus aurantiifrons,,Opwall Indonesia,,,,,,Indonesia,ID-SL-SG,Sulawesi,Sulawesi Tenggara,Manui Island,-3.5731000,123.1235000,"","",Unspecified,"","",,IBC1518176,,,,,,"",,,"Unconfirmed Loriculus sp. on Manui Island, by Joseph Monkhouse. Unconfirmed awaiting formal identification. Elevation: 23 m. Date added to IBC: September 17, 2018.",,Loriculus aurantiifrons,paphap1,Species,,,3.00,4,"",1118,1142
713031,Photo,Papuan Hanging-Parrot,Loriculus aurantiifrons,,Opwall Indonesia,,,,,,Indonesia,ID-SL-SG,Sulawesi,Sulawesi Tenggara,Manui Island,-3.5731000,123.1235000,"","",Unspecified,"","",,IBC1518177,,,,,,"",,,"Unconfirmed Loriculus sp. on Manui Island, by Joseph Monkhouse. Unconfirmed awaiting formal identification. Elevation: 23 m. Date added to IBC: September 17, 2018.",,Loriculus aurantiifrons,paphap1,Species,,,2.00,4,"",759,1049
713032,Photo,Papuan Hanging-Parrot,Loriculus aurantiifrons,,Opwall Indonesia,,,,,,Indonesia,ID-SL-SG,Sulawesi,Sulawesi Tenggara,Manui Island,-3.5731000,123.1235000,"","",Unspecified,"","",,IBC1518178,,,,,,"",,,"Unconfirmed Loriculus sp. on Manui Island, by Joseph Monkhouse. Unconfirmed awaiting formal identification. Elevation: 23 m. Date added to IBC: September 17, 2018.",,Loriculus aurantiifrons,paphap1,Species,,,2.00,4,"",840,904
713033,Photo,Baya Weaver,Ploceus philippinus,,shantilal  Varu,2018-09-03,2018,9,3,,,,,,,,,"","",Unspecified,"","",,IBC1518206,,,,,,"",,,"on nest. Breeding. Date added to IBC: September 18, 2018.",,Ploceus philippinus,baywea1,Species,,,2.00,4,Nest,640,464
713034,Photo,Cape Crow,Corvus capensis,,Nathalie SANTA MARIA,,,,,,Ethiopia,ET-OR,Oromia,,"Hysuftu (8.6123, 39.3848)",8.6123000,39.3848000,Adult – 1,"",Unspecified,"","",,IBC1518338,,,,,,"",,,"A perched adult. <style type=""text/css. IBC scientific name: Corvus capensis kordofanensis. Elevation: 1462 m. Date added to IBC: September 18, 2018.",,Corvus capensis,capcro2,Species,,,5.00,6,"",667,1000
713035,Photo,Red-breasted Flycatcher,Ficedula parva,,Jeremiusz Trzaska,,,,,,Belgium,BE-VLG,Vlaamse Gewest,,Lovenhoek Nature Reserve,51.2278000,4.7289000,Unknown – 1,"",Unspecified,"","",,IBC1518397,,,,,,"",,,"A bird on a branch. pl:Muchołówka mała nl:Kleine vliegenvanger. Elevation: 10 m. Date added to IBC: September 19, 2018.",,Ficedula parva,rebfly,Species,,,4.00,4,"",1657,2946
713036,Photo,Cinnamon-breasted Tody-Tyrant,Hemitriccus cinnamomeipectus,,Agustin Carrasco,,,,,,Ecuador,EC-Z,Zamora-Chinchipe,,"Nangaritza River (-3.8793, -78.6738)",-3.8793000,-78.6738000,"","",Unspecified,"","",,IBC1518424,,,,,,"",,,"bird. Elevation: 835 m. Date added to IBC: September 19, 2018.",,Hemitriccus cinnamomeipectus,cbttyr1,Species,,,4.20,5,"",3456,4608
713037,Photo,Cinnamon-breasted Tody-Tyrant,Hemitriccus cinnamomeipectus,,Agustin Carrasco,,,,,,Ecuador,EC-Z,Zamora-Chinchipe,,"Nangaritza River (-3.8793, -78.6738)",-3.8793000,-78.6738000,"","",Unspecified,"","",,IBC1518425,,,,,,"",,,"bird. Elevation: 835 m. Date added to IBC: September 19, 2018.",,Hemitriccus cinnamomeipectus,cbttyr1,Species,,,4.20,5,"",3456,4608
713038,Photo,Bronzy Jacamar,Galbula leucogastra,,Agustin Carrasco,,,,,,Ecuador,EC-,Ecuador,,Ecuador,-1.4274549,-78.7735777,"","",Unspecified,"","",,IBC1518426,,,,,,"",,,"first record fron ecuador. Original IBC location name and coordinates: Ecuador (-1.3182,-78.3545). Elevation: 3461 m. Date added to IBC: September 19, 2018.",,Galbula leucogastra,brojac1,Species,,,3.00,4,"",3456,4608
713039,Photo,Bronzy Jacamar,Galbula leucogastra,,Agustin Carrasco,,,,,,Ecuador,EC-,Ecuador,,Ecuador,-1.4274549,-78.7735777,"","",Unspecified,"","",,IBC1518427,,,,,,"",,,"first record fron ecuador. Original IBC location name and coordinates: Ecuador (-1.3182,-78.3545). Elevation: 3461 m. Date added to IBC: September 19, 2018.",,Galbula leucogastra,brojac1,Species,,,3.00,4,"",3456,4608
713040,Photo,Bronzy Jacamar,Galbula leucogastra,,Agustin Carrasco,,,,,,Ecuador,EC-,Ecuador,,Ecuador,-1.4274549,-78.7735777,"","",Unspecified,"","",,IBC1518428,,,,,,"",,,"first record fron ecuador. Original IBC location name and coordinates: Ecuador (-1.3182,-78.3545). Elevation: 3461 m. Date added to IBC: September 19, 2018.",,Galbula leucogastra,brojac1,Species,,,3.00,4,"",3456,4608
713041,Photo,Brownish Twistwing,Cnipodectes subbrunneus,,Trevor Ellery,,,,,,Colombia,CO-ANT,Antioquia,,"Rio Claro Reserve (5.8934, -74.8677)",5.8934000,-74.8677000,"","",Unspecified,"","",,IBC1518618,,,,,,"",,,"Perched bird. IBC scientific name: Cnipodectes subbrunneus subbrunneus. Elevation: 460 m. Date added to IBC: September 21, 2018.",,Cnipodectes subbrunneus,brofly1,Species,,,3.00,4,"",600,696
713042,Photo,Bare-crowned Antbird,Gymnocichla nudiceps,,Trevor Ellery,,,,,,Colombia,CO-ANT,Antioquia,,"Rio Claro Reserve (5.8934, -74.8677)",5.8934000,-74.8677000,"","",Unspecified,"","",,IBC1518620,,,,,,"",,,"Perched on a branch. Male. IBC scientific name: Gymnocichla nudiceps sanctamartae. Elevation: 460 m. Date added to IBC: September 21, 2018.",,Gymnocichla nudiceps,bacant1,Species,,,3.71,7,"",600,602
713046,Photo,Least Tern,Sternula antillarum,,Thore  Noernberg,,,,,,Venezuela,VE-B,Anzoátegui,,Lecherias--ciudad y alrededores cercanos,10.1822307,-64.6883154,"","",Unspecified,"","",,IBC1518708,,,,,,"",,,"adult at a brackish water lagoon . not the best pic because of the distance but you can see the black on the tip on the bill. IBC scientific name: Sternula antillarum antillarum. Original IBC location name and coordinates: Lecheria (10.2021,-64.6964). Elevation: 6 m. Date added to IBC: September 22, 2018.",,Sternula antillarum,leater1,Species,,,3.00,4,"",2765,3686
713047,Photo,Lesser Spotted Eagle,Clanga pomarina,,Stanislav Harvančík,,,,,,Slovakia,SK-,Slovakia,,Slovakia,48.7062489,19.4783977,"","",Unspecified,"","",,IBC1519050,,,,,,"",,,"female with young in the nest. Original IBC location name and coordinates: Slovakia (48.7055,19.7095). Elevation: 648 m. Date added to IBC: September 24, 2018.",,Clanga pomarina,leseag1,Species,,,4.33,6,Nest,533,800
713048,Photo,Lesser Spotted Eagle,Clanga pomarina,,Stanislav Harvančík,,,,,,Slovakia,SK-,Slovakia,,Slovakia,48.7062489,19.4783977,"","",Unspecified,"","",,IBC1519051,,,,,,"",,,"female with young in the nest. Original IBC location name and coordinates: Slovakia (48.7055,19.7095). Elevation: 648 m. Date added to IBC: September 24, 2018.",,Clanga pomarina,leseag1,Species,,,4.33,6,Nest,533,800
713049,Photo,Lesser Spotted Eagle,Clanga pomarina,,Stanislav Harvančík,,,,,,Slovakia,SK-,Slovakia,,Slovakia,48.7062489,19.4783977,"","",Unspecified,"","",,IBC1519052,,,,,,"",,,"male and female with young in the nest. Original IBC location name and coordinates: Slovakia (48.7055,19.7095). Elevation: 648 m. Date added to IBC: September 24, 2018.",,Clanga pomarina,leseag1,Species,,,4.33,6,Nest,700,700
713050,Photo,Yellow-legged Gull (atlantis),Larus michahellis atlantis,,Tamas Zeke,,,,,,Spain,ES-CN-FVT,Canarias,Fuerteventura,Fuerteventura,28.3721000,-14.0570000,"",Flying,Unspecified,"","",,IBC1520033,,,,,,"",,,"Larus michahellis atlantis in flight. scanned slide. Elevation: 468 m. Date added to IBC: September 28, 2018.",,Larus michahellis,yelgul2,Group,,,3.00,4,"",1130,1700
713051,Photo,Blue-winged Minla,Actinodura cyanouroptera,,Biplab kumar Mukhopadhyay,,,,,,India,IN-SK-WS,Sikkim,West Sikkim,West Sikkim District,27.4023000,88.2065000,"","",Unspecified,"","",,IBC1520051,,,,,,"",,,"Blue-winged Minla. IBC scientific name: Siva cyanouroptera. Elevation: 1909 m. Date added to IBC: September 28, 2018.",,Actinodura cyanouroptera,blwmin1,Species,,,4.29,7,"",1200,1800
713052,Photo,Chestnut-tailed Minla,Actinodura strigula,,Biplab kumar Mukhopadhyay,,,,,,India,IN-SK-WS,Sikkim,West Sikkim,West Sikkim District,27.4023000,88.2065000,"","",Unspecified,"","",,IBC1520052,,,,,,"",,,"Bar-throated Minla . IBC scientific name: Chrysominla strigula. Elevation: 1909 m. Date added to IBC: September 28, 2018.",,Actinodura strigula,chtmin1,Species,,,5.00,4,"",1200,1800
713053,Photo,White-necked Jacobin,Florisuga mellivora,,Luis Mario Arce,2017-11-30,2017,11,30,,,,,,,,,Adult Male – 1,"",Unspecified,"","",,IBC1520074,,,,,,"",,,"Frontal view of a male. IBC scientific name: Florisuga mellivora flabellifera. Date added to IBC: September 29, 2018.",,Florisuga mellivora,whnjac1,Species,,,5.00,4,"",2305,2897
713054,Photo,Copper-rumped Hummingbird,Saucerottia tobaci,,Luis Mario Arce,,,,,,Trinidad and Tobago,TT-TOB,Tobago,,"Speyside (11.3084, -60.5175)",11.3084000,-60.5175000,"","",Unspecified,"","",,IBC1520084,,,,,,"",,,"Taking a shower (5). IBC scientific name: Amazilia tobaci tobaci. Elevation: 0 m. Date added to IBC: September 29, 2018.",,Saucerottia tobaci,corhum1,Species,,,4.88,8,"",1969,2617
713055,Photo,Red-tailed Minla,Minla ignotincta,,Biplab kumar Mukhopadhyay,,,,,,India,IN-SK-WS,Sikkim,West Sikkim,West Sikkim District,27.4023000,88.2065000,"","",Unspecified,"","",,IBC1520426,,,,,,"",,,"Red-tailed Minla (Minla ignotincta). Elevation: 1909 m. Date added to IBC: October 2, 2018.",,Minla ignotincta,retmin1,Species,,,4.00,5,"",1200,1800
713056,Photo,Gray-hooded Warbler,Phylloscopus xanthoschistos,,Biplab kumar Mukhopadhyay,,,,,,India,IN-SK-WS,Sikkim,West Sikkim,West Sikkim District,27.4023000,88.2065000,"","",Unspecified,"","",,IBC1520427,,,,,,"",,,"Grey-headed Warbler (Basileuterus griseiceps). IBC scientific name: Basileuterus griseiceps. Elevation: 1909 m. Date added to IBC: October 2, 2018.",,Phylloscopus xanthoschistos,gyhwar2,Species,,,5.00,4,"",1200,1800
713057,Photo,Indian Scimitar-Babbler,Pomatorhinus horsfieldii,,Biplab kumar Mukhopadhyay,,,,,,India,IN-SK-WS,Sikkim,West Sikkim,West Sikkim District,27.4023000,88.2065000,"","",Unspecified,"","",,IBC1520428,,,,,,"",,,"Indian Scimitar-babbler (Pomatorhinus horsfieldii). Elevation: 1909 m. Date added to IBC: October 2, 2018.",,Pomatorhinus horsfieldii,insbab1,Species,,,5.00,4,"",1189,1800
713059,Photo,Russet Sparrow,Passer cinnamomeus,,Biplab kumar Mukhopadhyay,,,,,,India,IN-SK-WS,Sikkim,West Sikkim,West Sikkim District,27.4023000,88.2065000,"","",Unspecified,"","",,IBC1520679,,,,,,"",,,"Russet Sparrow (Passer cinnamomeus) perched. IBC scientific name: Passer cinnamomeus cinnamomeus. Elevation: 1909 m. Date added to IBC: October 3, 2018.",,Passer cinnamomeus,russpa2,Species,,,4.00,4,"",1800,1200
713060,Photo,Little Egret (Western),Egretta garzetta garzetta,,Nicholas Talbot,2018-04-29,2018,4,29,,,,,,,,,"","",Unspecified,"","",,IBC1520710,,,,,,"",,,"A bird in breeding plumage hunting in a stream. Date added to IBC: October 3, 2018.",,Egretta garzetta,litegr1,Group,,,3.00,4,"",1968,2714
713061,Photo,Cream-colored Courser,Cursorius cursor,,jaysukh parekh Suman,2016-01-16,2016,1,16,,,,,,,,,"","",Unspecified,"","",,IBC1520877,,,,,,"",,,"cream coloured courser. Date added to IBC: October 5, 2018.",,Cursorius cursor,crccou1,Species,,,3.00,4,"",1332,1638
713062,Photo,Mistle Thrush,Turdus viscivorus,,jaysukh parekh Suman,2017-04-19,2017,4,19,,,,,,,,,"","",Unspecified,"","",,IBC1520906,,,,,,"",,,"mistle thrush. Date added to IBC: October 5, 2018.",,Turdus viscivorus,misthr1,Species,,,4.00,4,"",800,734
713063,Photo,Chestnut-bellied Nuthatch,Sitta cinnamoventris,,jaysukh parekh Suman,2017-04-19,2017,4,19,,,,,,,,,"","",Unspecified,"","",,IBC1520978,,,,,,"",,,"chestnut bellied nutach. Date added to IBC: October 6, 2018.",,Sitta cinnamoventris,chbnut3,Species,,,3.40,5,"",494,680
713064,Photo,Purple Heron (Purple),Ardea purpurea [purpurea Group],,Stanislav Harvančík,,,,,,Slovakia,SK-KI,Košický kraj,,Blatná Polianka,48.6941000,22.0768000,"","",Unspecified,"","",,IBC1521122,,,,,,"",,,"adult bird on nest with young. IBC scientific name: Ardea purpurea purpurea. Elevation: 98 m. Date added to IBC: October 6, 2018.",,Ardea purpurea,purher3,Group,,,4.00,4,Nest,676,700
713066,Photo,Jungle Prinia,Prinia sylvatica,,jaysukh parekh Suman,,,,,,India,IN-GJ-KA,Gujarat,Kachchh,Kachchh,23.6293788,69.9592245,"","",Unspecified,"","",,IBC1521297,,,,,,"",,,"jungle prinia. Original IBC location name and coordinates: Kutch District (23.3069,69.6561). Elevation: 79 m. Date added to IBC: October 8, 2018.",,Prinia sylvatica,junpri1,Species,,,3.40,5,"",686,800
713067,Photo,African Pied Wagtail,Motacilla aguimp,,jaysukh parekh Suman,2018-03-04,2018,3,4,,,,,,,,,"","",Unspecified,"","",,IBC1521318,,,,,,"",,,"pied wagtail. Date added to IBC: October 8, 2018.",,Motacilla aguimp,afpwag1,Species,,,4.00,4,"",534,680
713068,Photo,Black-throated Parrotbill,Suthora nipalensis,,Biplab kumar Mukhopadhyay,,,,,,India,IN-SK-WS,Sikkim,West Sikkim,West Sikkim District,27.4023000,88.2065000,"","",Unspecified,"","",,IBC1521360,,,,,,"",,,"BlackBlack-throated Parrotbill (Suthora nipalensis). Elevation: 1909 m. Date added to IBC: October 8, 2018.",,Suthora nipalensis,bltpar1,Species,,,4.00,4,"",835,849
